종목명,시작 연도,완료 연도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
철도차량정비,2017,2017,여,0,0,0,0,0,0,0,0,0
철도차량정비,2018,2018,전체,15,10,2,20,3,3,3,100,3
철도차량정비,2018,2018,여,0,0,0,0,0,0,0,0,0
철도차량정비,2019,2019,전체,41,36,3,8.3,3,3,3,100,3
철도차량정비,2019,2019,여,3,3,0,0,0,0,0,0,0
조선분야,1975,2019,전체,12739,10885,2438,22.4,14757,14280,12828,89.8,13505
조선분야,1975,2014,전체,12280,10516,2289,21.8,12962,12549,11258,89.7,11833
조선분야,2015,2015,전체,170,131,48,36.6,415,403,348,86.4,357
조선분야,2015,2015,여,5,3,0,0,1,1,1,100,1
조선분야,2016,2016,전체,135,116,40,34.5,401,386,344,89.1,371
조선분야,2016,2016,여,11,11,5,45.5,6,6,5,83.3,7
조선분야,2017,2017,전체,66,55,27,49.1,380,365,347,95.1,370
조선분야,2017,2017,여,1,1,0,0,2,2,1,50,1
조선분야,2018,2018,전체,46,37,18,48.6,365,356,327,91.9,337
조선분야,2018,2018,여,2,2,1,50,1,1,1,100,1
조선분야,2019,2019,전체,42,30,16,53.3,234,221,204,92.3,237
조선분야,2019,2019,여,4,3,3,100,6,5,5,100,10
전산응용조선제도,1975,2019,전체,6532,5825,1425,24.5,4764,4533,3783,83.5,4044
전산응용조선제도,1975,2014,전체,6406,5725,1384,24.2,4206,4004,3324,83,3508
전산응용조선제도,2015,2015,전체,48,36,11,30.6,114,107,83,77.6,90
전산응용조선제도,2015,2015,여,3,3,0,0,0,0,0,0,0
전산응용조선제도,2016,2016,전체,32,31,13,41.9,141,133,108,81.2,134
전산응용조선제도,2016,2016,여,8,8,4,50,5,5,4,80,6
전산응용조선제도,2017,2017,전체,18,15,8,53.3,119,112,103,92,123
전산응용조선제도,2017,2017,여,0,0,0,0,2,2,1,50,1
전산응용조선제도,2018,2018,전체,14,11,6,54.5,124,123,113,91.9,115
전산응용조선제도,2018,2018,여,1,1,0,0,1,1,1,100,1
전산응용조선제도,2019,2019,전체,14,7,3,42.9,60,54,52,96.3,74
전산응용조선제도,2019,2019,여,3,2,2,100,5,4,4,100,9
선체건조,1975,2019,전체,4951,3975,807,20.3,3325,3257,2871,88.1,3601
선체건조,1975,2014,전체,4717,3786,732,19.3,2715,2657,2319,87.3,3024
선체건조,2015,2015,전체,100,77,29,37.7,161,159,136,85.5,138
선체건조,2015,2015,여,1,0,0,0,0,0,0,0,0
선체건조,2016,2016,전체,96,79,26,32.9,139,138,128,92.8,129
선체건조,2016,2016,여,3,3,1,33.3,1,1,1,100,1
선체건조,2017,2017,전체,20,17,9,52.9,123,118,110,93.2,113
선체건조,2017,2017,여,0,0,0,0,0,0,0,0,0
선체건조,2018,2018,전체,8,7,5,71.4,114,113,112,99.1,120
선체건조,2018,2018,여,1,1,1,100,0,0,0,0,0
선체건조,2019,2019,전체,10,9,6,66.7,73,72,66,91.7,77
선체건조,2019,2019,여,1,1,1,100,1,1,1,100,1
동력기계정비,1975,2019,전체,637,523,145,27.7,6127,5963,5746,96.4,5860
동력기계정비,1975,2014,전체,538,443,112,25.3,5500,5361,5187,96.8,5301
동력기계정비,2015,2015,전체,22,18,8,44.4,140,137,129,94.2,129
동력기계정비,2015,2015,여,1,0,0,0,1,1,1,100,1
동력기계정비,2016,2016,전체,7,6,1,16.7,121,115,108,93.9,108
동력기계정비,2016,2016,여,0,0,0,0,0,0,0,0,0
동력기계정비,2017,2017,전체,28,23,10,43.5,138,135,134,99.3,134
동력기계정비,2017,2017,여,1,1,0,0,0,0,0,0,0
동력기계정비,2018,2018,전체,24,19,7,36.8,127,120,102,85,102
동력기계정비,2018,2018,여,0,0,0,0,0,0,0,0,0
동력기계정비,2019,2019,전체,18,14,7,50,101,95,86,90.5,86
동력기계정비,2019,2019,여,0,0,0,0,0,0,0,0,0
항공분야,1975,2019,전체,232590,206705,69864,33.8,117299,109017,75358,69.1,82813
항공분야,1975,2014,전체,180174,159112,52198,32.8,95004,87725,58150,66.3,64078
항공분야,2015,2015,전체,10492,9627,2904,30.2,3796,3617,3036,83.9,3300
항공분야,2015,2015,여,494,438,131,29.9,198,178,154,86.5,164
항공분야,2016,2016,전체,10639,9713,3911,40.3,4500,4328,3771,87.1,4084
항공분야,2016,2016,여,532,474,206,43.5,258,243,208,85.6,231
항공분야,2017,2017,전체,10378,9495,3698,38.9,4574,4385,3597,82,3919
항공분야,2017,2017,여,443,388,160,41.2,235,224,188,83.9,208
항공분야,2018,2018,전체,11339,10279,3984,38.8,5355,5083,3673,72.3,4031
항공분야,2018,2018,여,575,519,218,42,311,289,216,74.7,232
항공분야,2019,2019,전체,9568,8479,3169,37.4,4070,3879,3131,80.7,3401
항공분야,2019,2019,여,595,519,208,40.1,263,247,211,85.4,234
항공기체정비,1975,2019,전체,84280,75688,25267,33.4,39619,36958,28161,76.2,32291
항공기체정비,1975,2014,전체,57964,51774,17237,33.3,29917,27702,20824,75.2,23991
항공기체정비,2015,2015,전체,4968,4580,1361,29.7,1639,1564,1292,82.6,1475
항공기체정비,2015,2015,여,228,203,63,31,65,60,50,83.3,55
항공기체정비,2016,2016,전체,5187,4773,1626,34.1,1828,1755,1535,87.5,1735
항공기체정비,2016,2016,여,257,230,81,35.2,89,85,77,90.6,92
항공기체정비,2017,2017,전체,4855,4447,1586,35.7,1851,1766,1434,81.2,1615
항공기체정비,2017,2017,여,202,181,66,36.5,79,74,59,79.7,68
항공기체정비,2018,2018,전체,6169,5593,1936,34.6,2498,2361,1665,70.5,1905
항공기체정비,2018,2018,여,308,280,107,38.2,129,117,82,70.1,94
항공기체정비,2019,2019,전체,5137,4521,1521,33.6,1886,1810,1411,78,1570
항공기체정비,2019,2019,여,323,280,107,38.2,116,111,89,80.2,102
항공기관정비,1975,2019,전체,113623,101746,37864,37.2,54717,50052,28373,56.7,30335
항공기관정비,1975,2014,전체,93668,83654,31219,37.3,47072,42726,22371,52.4,24110
항공기관정비,2015,2015,전체,4628,4219,1098,26,1278,1226,1065,86.9,1091
항공기관정비,2015,2015,여,214,191,45,23.6,51,46,40,87,41
항공기관정비,2016,2016,전체,4220,3842,1674,43.6,1762,1700,1491,87.7,1542
항공기관정비,2016,2016,여,202,178,88,49.4,94,86,73,84.9,78
항공기관정비,2017,2017,전체,4203,3837,1442,37.6,1616,1556,1269,81.6,1331
항공기관정비,2017,2017,여,168,142,54,38,66,65,55,84.6,56
항공기관정비,2018,2018,전체,3710,3357,1346,40.1,1689,1619,1132,69.9,1177
항공기관정비,2018,2018,여,185,166,74,44.6,79,77,63,81.8,64
항공기관정비,2019,2019,전체,3194,2837,1085,38.2,1300,1225,1045,85.3,1084
항공기관정비,2019,2019,여,195,172,69,40.1,74,71,67,94.4,71
항공장비정비,1975,2019,전체,8386,7748,4070,52.5,5921,5713,4704,82.3,5404
항공장비정비,1975,2014,전체,3042,2768,1134,41,3008,2904,2534,87.3,2935
항공장비정비,2015,2015,전체,759,718,433,60.3,470,459,359,78.2,405
항공장비정비,2015,2015,여,39,35,23,65.7,18,18,15,83.3,18
항공장비정비,2016,2016,전체,1042,968,604,62.4,513,497,425,85.5,485
항공장비정비,2016,2016,여,60,56,37,66.1,29,28,25,89.3,28
항공장비정비,2017,2017,전체,1129,1059,648,61.2,696,666,515,77.3,580
항공장비정비,2017,2017,여,60,55,38,69.1,38,37,28,75.7,35
항공장비정비,2018,2018,전체,1288,1197,693,57.9,745,713,536,75.2,600
항공장비정비,2018,2018,여,73,66,36,54.5,41,37,26,70.3,28
항공장비정비,2019,2019,전체,1126,1038,558,53.8,489,474,335,70.7,399
항공장비정비,2019,2019,여,72,65,32,49.2,25,24,20,83.3,24
항공전자정비,1975,2019,전체,26301,21523,2663,12.4,17042,16294,14120,86.7,14783
항공전자정비,1975,2014,전체,25500,20916,2608,12.5,15007,14393,12421,86.3,13042
항공전자정비,2015,2015,전체,137,110,12,10.9,409,368,320,87,329
항공전자정비,2015,2015,여,13,9,0,0,64,54,49,90.7,50
항공전자정비,2016,2016,전체,190,130,7,5.4,397,376,320,85.1,322
항공전자정비,2016,2016,여,13,10,0,0,46,44,33,75,33
항공전자정비,2017,2017,전체,191,152,22,14.5,411,397,379,95.5,393
항공전자정비,2017,2017,여,13,10,2,20,52,48,46,95.8,49
항공전자정비,2018,2018,전체,172,132,9,6.8,423,390,340,87.2,349
항공전자정비,2018,2018,여,9,7,1,14.3,62,58,45,77.6,46
항공전자정비,2019,2019,전체,111,83,5,6,395,370,340,91.9,348
항공전자정비,2019,2019,여,5,2,0,0,48,41,35,85.4,37
자동차분야,1975,2019,전체,1511884,1269690,415813,32.7,772769,677613,391826,57.8,584399
자동차분야,1975,2014,전체,1367241,1145080,366071,32,689385,600155,339936,56.6,527437
자동차분야,2015,2015,전체,30695,26638,9460,35.5,16898,15762,10522,66.8,11465
자동차분야,2015,2015,여,753,645,213,33,299,281,209,74.4,226
자동차분야,2016,2016,전체,32425,27618,10929,39.6,17865,16603,11303,68.1,12403
자동차분야,2016,2016,여,912,721,269,37.3,336,306,224,73.2,239
자동차분야,2017,2017,전체,28732,25123,10239,40.8,17106,15921,10820,68,11869
자동차분야,2017,2017,여,702,586,225,38.4,285,262,199,76,207
자동차분야,2018,2018,전체,26318,22738,9369,41.2,16062,14855,9810,66,10912
자동차분야,2018,2018,여,746,598,208,34.8,293,276,195,70.7,207
자동차분야,2019,2019,전체,26473,22493,9745,43.3,15453,14317,9435,65.9,10313
자동차분야,2019,2019,여,749,603,230,38.1,292,268,171,63.8,185
자동차정비,1975,2019,전체,1209898,1013078,306531,30.3,590497,525092,307530,58.6,552616
자동차정비,1975,2014,전체,1085839,907026,268167,29.6,521918,462021,267612,57.9,507952
자동차정비,2015,2015,전체,27119,23366,7585,32.5,14231,13161,8344,63.4,9233
자동차정비,2015,2015,여,699,591,184,31.1,260,242,174,71.9,191
자동차정비,2016,2016,전체,28492,24061,8743,36.3,14931,13752,8940,65,9968
자동차정비,2016,2016,여,843,661,235,35.6,306,277,202,72.9,217
자동차정비,2017,2017,전체,24701,21444,7847,36.6,14080,12974,8384,64.6,9354
자동차정비,2017,2017,여,632,521,183,35.1,248,226,170,75.2,179
자동차정비,2018,2018,전체,22329,19137,7128,37.2,13080,11961,7386,61.8,8422
자동차정비,2018,2018,여,685,548,181,33,258,241,167,69.3,178
자동차정비,2019,2019,전체,21418,18044,7061,39.1,12257,11223,6864,61.2,7687
자동차정비,2019,2019,여,662,528,179,33.9,247,225,136,60.4,150
자동차차체수리,1975,2019,전체,26847,22495,9022,40.1,17802,16702,13914,83.3,15956
자동차차체수리,1975,2014,전체,18315,14843,4911,33.1,11449,10589,8692,82.1,10476
자동차차체수리,2015,2015,전체,1407,1280,586,45.8,1130,1102,967,87.7,1012
자동차차체수리,2015,2015,여,22,22,8,36.4,11,11,11,100,11
자동차차체수리,2016,2016,전체,1545,1390,773,55.6,1272,1227,1032,84.1,1090
자동차차체수리,2016,2016,여,27,24,10,41.7,9,9,8,88.9,8
자동차차체수리,2017,2017,전체,1630,1473,831,56.4,1212,1168,1033,88.4,1095
자동차차체수리,2017,2017,여,24,23,14,60.9,11,11,11,100,10
자동차차체수리,2018,2018,전체,1746,1557,876,56.3,1364,1305,1096,84,1148
자동차차체수리,2018,2018,여,19,14,7,50,16,16,13,81.3,14
자동차차체수리,2019,2019,전체,2204,1952,1045,53.5,1375,1311,1094,83.4,1135
자동차차체수리,2019,2019,여,26,22,14,63.6,13,13,13,100,13
자동차보수도장,1975,2019,전체,27680,25043,15477,61.8,18404,17885,13725,76.7,14014
자동차보수도장,1975,2014,전체,15628,14137,8210,58.1,9952,9611,6975,72.6,7196
자동차보수도장,2015,2015,전체,2169,1992,1289,64.7,1537,1499,1211,80.8,1220
자동차보수도장,2015,2015,여,32,32,21,65.6,28,28,24,85.7,24
자동차보수도장,2016,2016,전체,2388,2167,1413,65.2,1662,1624,1331,82,1345
자동차보수도장,2016,2016,여,42,36,24,66.7,21,20,14,70,14
자동차보수도장,2017,2017,전체,2401,2206,1561,70.8,1814,1779,1403,78.9,1420
자동차보수도장,2017,2017,여,46,42,28,66.7,26,25,18,72,18
자동차보수도장,2018,2018,전체,2243,2044,1365,66.8,1618,1589,1328,83.6,1342
자동차보수도장,2018,2018,여,42,36,20,55.6,19,19,15,78.9,15
자동차보수도장,2019,2019,전체,2851,2497,1639,65.6,1821,1783,1477,82.8,1491
자동차보수도장,2019,2019,여,61,53,37,69.8,32,30,22,73.3,22
금형.공작기계분야,1975,2019,전체,19390,16248,3924,24.2,24858,23759,18869,79.4,19956
금형.공작기계분야,1975,2014,전체,16379,13763,3092,22.5,17942,17105,12826,75,13824
금형.공작기계분야,2015,2015,전체,530,457,219,47.9,1263,1224,1147,93.7,1166
금형.공작기계분야,2015,2015,여,14,12,7,58.3,48,47,46,97.9,46
금형.공작기계분야,2016,2016,전체,719,586,146,24.9,1477,1416,1301,91.9,1316
금형.공작기계분야,2016,2016,여,17,13,8,61.5,32,31,28,90.3,28
금형.공작기계분야,2017,2017,전체,557,466,171,36.7,1392,1322,1212,91.7,1231
금형.공작기계분야,2017,2017,여,10,8,4,50,32,30,27,90,27
금형.공작기계분야,2018,2018,전체,683,561,167,29.8,1490,1445,1306,90.4,1325
금형.공작기계분야,2018,2018,여,11,6,1,16.7,41,41,39,95.1,39
금형.공작기계분야,2019,2019,전체,522,415,129,31.1,1294,1247,1077,86.4,1094
금형.공작기계분야,2019,2019,여,15,13,6,46.2,63,62,53,85.5,53
금형,1975,2019,전체,3816,3169,1081,34.1,9243,8886,8099,91.1,19794
금형,1975,2014,전체,805,684,249,36.4,2327,2232,2056,92.1,13662
금형,2015,2015,전체,530,457,219,47.9,1263,1224,1147,93.7,1166
금형,2015,2015,여,14,12,7,58.3,48,47,46,97.9,46
금형,2016,2016,전체,719,586,146,24.9,1477,1416,1301,91.9,1316
금형,2016,2016,여,17,13,8,61.5,32,31,28,90.3,28
금형,2017,2017,전체,557,466,171,36.7,1392,1322,1212,91.7,1231
금형,2017,2017,여,10,8,4,50,32,30,27,90,27
금형,2018,2018,전체,683,561,167,29.8,1490,1445,1306,90.4,1325
금형,2018,2018,여,11,6,1,16.7,41,41,39,95.1,39
