종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
산업위생관리,2019,여자,37,27,0,0,4,4,1,25,1
산업위생관리,2020,전체,179,135,12,8.9,47,47,17,36.2,17
산업위생관리,2020,여자,43,27,2,7.4,4,4,1,25,1
가스,전체,전체,4377,3318,391,11.8,593,592,381,64.4,381
가스,2015(누적),전체,3946,2959,321,10.8,476,476,320,67.2,320
가스,2016,전체,73,55,3,5.5,5,5,4,80,4
가스,2016,여자,1,1,0,0,0,0,0,0,0
가스,2017,전체,89,76,13,17.1,13,13,5,38.5,5
가스,2017,여자,2,2,0,0,0,0,0,0,0
가스,2018,전체,99,85,20,23.5,32,31,17,54.8,17
가스,2018,여자,5,5,0,0,0,0,0,0,0
가스,2019,전체,116,102,31,30.4,52,52,28,53.8,28
가스,2019,여자,5,5,2,40,3,3,1,33.3,1
가스,2020,전체,54,41,3,7.3,15,15,7,46.7,7
가스,2020,여자,2,1,0,0,1,1,1,100,1
인간공학,전체,전체,593,449,176,39.2,280,280,135,48.2,135
인간공학,2015(누적),전체,368,269,90,33.5,141,141,68,48.2,68
인간공학,2016,전체,43,30,9,30,18,18,14,77.8,14
인간공학,2016,여자,7,5,2,40,2,2,1,50,1
인간공학,2017,전체,39,34,18,52.9,20,20,9,45,9
인간공학,2017,여자,8,7,4,57.1,4,4,2,50,2
인간공학,2018,전체,48,35,23,65.7,33,33,14,42.4,14
인간공학,2018,여자,7,5,2,40,4,4,3,75,3
인간공학,2019,전체,41,37,21,56.8,37,37,20,54.1,20
인간공학,2019,여자,8,7,2,28.6,2,2,2,100,2
인간공학,2020,전체,54,44,15,34.1,31,31,10,32.3,10
인간공학,2020,여자,12,9,2,22.2,2,2,1,50,1
비파괴검사분야,전체,전체,874,587,98,16.7,133,133,91,68.4,91
비파괴검사분야,2015(누적),전체,801,522,84,16.1,112,112,81,72.3,81
비파괴검사분야,2016,전체,7,7,1,14.3,1,1,1,100,1
비파괴검사분야,2016,여자,0,0,0,0,0,0,0,0,0
비파괴검사분야,2017,전체,17,15,3,20,3,3,1,33.3,1
비파괴검사분야,2017,여자,0,0,0,0,0,0,0,0,0
비파괴검사분야,2018,전체,10,9,2,22.2,4,4,2,50,2
비파괴검사분야,2018,여자,0,0,0,0,0,0,0,0,0
비파괴검사분야,2019,전체,19,17,6,35.3,8,8,4,50,4
비파괴검사분야,2019,여자,0,0,0,0,0,0,0,0,0
비파괴검사분야,2020,전체,20,17,2,11.8,5,5,2,40,2
비파괴검사분야,2020,여자,0,0,0,0,0,0,0,0,0
비파괴검사,전체,전체,874,587,98,16.7,133,133,91,68.4,91
비파괴검사,2015(누적),전체,801,522,84,16.1,112,112,81,72.3,81
비파괴검사,2016,전체,7,7,1,14.3,1,1,1,100,1
비파괴검사,2016,여자,0,0,0,0,0,0,0,0,0
비파괴검사,2017,전체,17,15,3,20,3,3,1,33.3,1
비파괴검사,2017,여자,0,0,0,0,0,0,0,0,0
비파괴검사,2018,전체,10,9,2,22.2,4,4,2,50,2
비파괴검사,2018,여자,0,0,0,0,0,0,0,0,0
비파괴검사,2019,전체,19,17,6,35.3,8,8,4,50,4
비파괴검사,2019,여자,0,0,0,0,0,0,0,0,0
비파괴검사,2020,전체,20,17,2,11.8,5,5,2,40,2
비파괴검사,2020,여자,0,0,0,0,0,0,0,0,0
환경분야,전체,전체,23091,17397,1638,9.4,2920,2910,1564,53.7,1566
환경분야,2015(누적),전체,20523,15269,1368,9,2448,2440,1316,53.9,1318
환경분야,2016,전체,592,480,61,12.7,101,101,49,48.5,49
환경분야,2016,여자,106,87,14,16.1,27,27,12,44.4,12
환경분야,2017,전체,559,442,31,7,82,82,46,56.1,46
환경분야,2017,여자,98,74,4,5.4,18,18,11,61.1,11
환경분야,2018,전체,510,432,57,13.2,76,75,43,57.3,43
환경분야,2018,여자,81,64,6,9.4,8,8,6,75,6
환경분야,2019,전체,478,411,77,18.7,119,118,59,50,59
환경분야,2019,여자,104,89,18,20.2,22,22,13,59.1,13
환경분야,2020,전체,429,363,44,12.1,94,94,51,54.3,51
환경분야,2020,여자,84,67,4,6,14,14,6,42.9,6
"대기관리,수질관리,소음진동",전체,전체,0,0,0,0,0,0,0,0,1
"대기관리,수질관리,소음진동",2015(누적),전체,0,0,0,0,0,0,0,0,1
대기관리,전체,전체,4031,3047,304,10,525,524,284,54.2,284
대기관리,2015(누적),전체,3635,2705,259,9.6,432,432,248,57.4,248
대기관리,2016,전체,93,79,11,13.9,21,21,7,33.3,7
대기관리,2016,여자,11,10,4,40,6,6,1,16.7,1
대기관리,2017,전체,87,70,5,7.1,15,15,8,53.3,8
대기관리,2017,여자,6,5,0,0,5,5,3,60,3
대기관리,2018,전체,91,85,7,8.2,14,14,7,50,7
대기관리,2018,여자,9,7,0,0,0,0,0,0,0
대기관리,2019,전체,78,70,17,24.3,25,24,6,25,6
대기관리,2019,여자,14,9,1,11.1,2,2,0,0,0
대기관리,2020,전체,47,38,5,13.2,18,18,8,44.4,8
대기관리,2020,여자,7,5,0,0,1,1,1,100,1
수질관리,전체,전체,5981,4509,390,8.6,704,703,376,53.5,376
수질관리,2015(누적),전체,5337,3980,331,8.3,595,594,322,54.2,322
수질관리,2016,전체,144,122,8,6.6,16,16,6,37.5,6
수질관리,2016,여자,19,15,2,13.3,5,5,1,20,1
수질관리,2017,전체,122,99,5,5.1,14,14,8,57.1,8
수질관리,2017,여자,11,8,0,0,2,2,1,50,1
수질관리,2018,전체,137,118,21,17.8,22,22,12,54.5,12
수질관리,2018,여자,7,6,0,0,0,0,0,0,0
수질관리,2019,전체,118,91,14,15.4,30,30,14,46.7,14
수질관리,2019,여자,15,11,1,9.1,1,1,0,0,0
수질관리,2020,전체,123,99,11,11.1,27,27,14,51.9,14
수질관리,2020,여자,17,14,0,0,2,2,0,0,0
자연환경관리,전체,전체,4048,3255,262,8,447,445,254,57.1,254
자연환경관리,2015(누적),전체,3235,2582,181,7,327,325,173,53.2,173
자연환경관리,2016,전체,174,143,24,16.8,37,37,24,64.9,24
자연환경관리,2016,여자,60,46,5,10.9,11,11,7,63.6,7
자연환경관리,2017,전체,176,140,8,5.7,17,17,12,70.6,12
자연환경관리,2017,여자,69,53,4,7.5,10,10,6,60,6
자연환경관리,2018,전체,158,124,11,8.9,14,14,12,85.7,12
자연환경관리,2018,여자,59,48,5,10.4,7,7,5,71.4,5
자연환경관리,2019,전체,155,136,26,19.1,30,30,21,70,21
자연환경관리,2019,여자,65,59,13,22,15,15,12,80,12
자연환경관리,2020,전체,150,130,12,9.2,22,22,12,54.5,12
자연환경관리,2020,여자,55,46,2,4.3,7,7,1,14.3,1
소음진동,전체,전체,2536,1936,252,13,543,539,228,42.3,228
소음진동,2015(누적),전체,2320,1750,227,13,491,487,207,42.5,207
소음진동,2016,전체,46,38,9,23.7,10,10,3,30,3
소음진동,2016,여자,6,6,1,16.7,1,1,1,100,1
소음진동,2017,전체,50,40,3,7.5,15,15,5,33.3,5
소음진동,2017,여자,3,3,0,0,0,0,0,0,0
소음진동,2018,전체,39,34,4,11.8,9,9,3,33.3,3
소음진동,2018,여자,1,0,0,0,0,0,0,0,0
소음진동,2019,전체,40,36,6,16.7,10,10,5,50,5
소음진동,2019,여자,2,2,0,0,0,0,0,0,0
소음진동,2020,전체,41,38,3,7.9,8,8,5,62.5,5
소음진동,2020,여자,0,0,0,0,0,0,0,0,0
토양환경,전체,전체,1835,1279,162,12.7,258,257,157,61.1,157
토양환경,2015(누적),전체,1599,1104,129,11.7,199,198,124,62.6,124
토양환경,2016,전체,66,43,7,16.3,12,12,5,41.7,5
토양환경,2016,여자,5,5,2,40,3,3,1,33.3,1
토양환경,2017,전체,46,31,2,6.5,10,10,7,70,7
토양환경,2017,여자,4,2,0,0,1,1,1,100,1
토양환경,2018,전체,46,36,9,25,10,10,5,50,5
토양환경,2018,여자,3,1,0,0,0,0,0,0,0
토양환경,2019,전체,46,39,10,25.6,19,19,11,57.9,11
토양환경,2019,여자,4,4,3,75,4,4,1,25,1
토양환경,2020,전체,32,26,5,19.2,8,8,5,62.5,5
토양환경,2020,여자,3,1,1,100,3,3,3,100,3
폐기물처리,전체,전체,4660,3371,268,8,443,442,265,60,266
폐기물처리,2015(누적),전체,4397,3148,241,7.7,404,404,242,59.9,243
폐기물처리,2016,전체,69,55,2,3.6,5,5,4,80,4
폐기물처리,2016,여자,5,5,0,0,1,1,1,100,1
폐기물처리,2017,전체,78,62,8,12.9,11,11,6,54.5,6
폐기물처리,2017,여자,5,3,0,0,0,0,0,0,0
폐기물처리,2018,전체,39,35,5,14.3,7,6,4,66.7,4
폐기물처리,2018,여자,2,2,1,50,1,1,1,100,1
폐기물처리,2019,전체,41,39,4,10.3,5,5,2,40,2
폐기물처리,2019,여자,4,4,0,0,0,0,0,0,0
폐기물처리,2020,전체,36,32,8,25,11,11,7,63.6,7
폐기물처리,2020,여자,2,1,1,100,1,1,1,100,1
에너지.기상분야,전체,전체,3310,2309,685,29.7,844,843,643,76.3,647
에너지.기상분야,2015(누적),전체,3056,2114,631,29.8,779,778,600,77.1,604
에너지.기상분야,2016,전체,34,26,4,15.4,4,4,4,100,4
에너지.기상분야,2016,여자,2,1,0,0,0,0,0,0,0
에너지.기상분야,2017,전체,51,38,11,28.9,11,11,5,45.5,5
에너지.기상분야,2017,여자,2,0,0,0,0,0,0,0,0
에너지.기상분야,2018,전체,63,42,13,31,19,19,16,84.2,16
에너지.기상분야,2018,여자,5,4,2,50,2,2,2,100,2
에너지.기상분야,2019,전체,56,48,9,18.8,11,11,8,72.7,8
에너지.기상분야,2019,여자,5,4,0,0,0,0,0,0,0
에너지.기상분야,2020,전체,50,41,17,41.5,20,20,10,50,10
에너지.기상분야,2020,여자,8,7,4,57.1,4,4,0,0,0
에너지(원자력),전체,전체,0,0,0,0,0,0,0,0,5
에너지(원자력),2015(누적),전체,0,0,0,0,0,0,0,0,5
에너지(방사선가공),전체,전체,0,0,0,0,0,0,0,0,6
에너지(방사선가공),2015(누적),전체,0,0,0,0,0,0,0,0,6
원자력발전,전체,전체,1858,1255,429,34.2,498,497,429,86.3,469
원자력발전,2015(누적),전체,1784,1198,418,34.9,486,485,418,86.2,458
원자력발전,2016,전체,5,5,2,40,2,2,2,100,2
원자력발전,2016,여자,0,0,0,0,0,0,0,0,0
원자력발전,2017,전체,21,15,3,20,3,3,2,66.7,2
원자력발전,2017,여자,0,0,0,0,0,0,0,0,0
원자력발전,2018,전체,20,14,2,14.3,3,3,3,100,3
원자력발전,2018,여자,0,0,0,0,0,0,0,0,0
원자력발전,2019,전체,16,13,2,15.4,2,2,2,100,2
원자력발전,2019,여자,0,0,0,0,0,0,0,0,0
원자력발전,2020,전체,12,10,2,20,2,2,2,100,2
원자력발전,2020,여자,0,0,0,0,0,0,0,0,0
기상예보,전체,전체,266,199,66,33.2,85,85,53,62.4,53
기상예보,2015(누적),전체,211,157,36,22.9,48,48,29,60.4,29
기상예보,2016,전체,8,3,1,33.3,1,1,1,100,1
기상예보,2016,여자,1,0,0,0,0,0,0,0,0
기상예보,2017,전체,9,5,5,100,5,5,1,20,1
기상예보,2017,여자,2,0,0,0,0,0,0,0,0
기상예보,2018,전체,15,11,10,90.9,14,14,12,85.7,12
기상예보,2018,여자,4,3,2,66.7,2,2,2,100,2
기상예보,2019,전체,11,11,3,27.3,5,5,4,80,4
기상예보,2019,여자,1,1,0,0,0,0,0,0,0
기상예보,2020,전체,12,12,11,91.7,12,12,6,50,6
기상예보,2020,여자,4,4,4,100,4,4,0,0,0
핵연료,전체,전체,116,87,46,52.9,53,53,42,79.2,0
핵연료,2015(누적),전체,116,87,46,52.9,53,53,42,79.2,0
방사선관리,전체,전체,1070,768,144,18.8,208,208,119,57.2,114
방사선관리,2015(누적),전체,945,672,131,19.5,192,192,111,57.8,106
방사선관리,2016,전체,21,18,1,5.6,1,1,1,100,1
방사선관리,2016,여자,1,1,0,0,0,0,0,0,0
방사선관리,2017,전체,21,18,3,16.7,3,3,2,66.7,2
방사선관리,2017,여자,0,0,0,0,0,0,0,0,0
방사선관리,2018,전체,28,17,1,5.9,2,2,1,50,1
방사선관리,2018,여자,1,1,0,0,0,0,0,0,0
방사선관리,2019,전체,29,24,4,16.7,4,4,2,50,2
방사선관리,2019,여자,4,3,0,0,0,0,0,0,0
방사선관리,2020,전체,26,19,4,21.1,6,6,2,33.3,2
방사선관리,2020,여자,4,3,0,0,0,0,0,0,0
