종목명,년도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
건설안전,2016,전체,13181,8931,3956,44.3,5883,4941,2692,54.5,2692
건설안전,2016,여자,1427,1052,490,46.6,714,610,296,48.5,297
건설안전,2017,전체,13786,9335,4026,43.1,6892,5869,3077,52.4,3077
건설안전,2017,여자,1553,1137,501,44.1,854,748,373,49.9,373
건설안전,2018,전체,15018,10421,3806,36.5,6364,5384,3244,60.3,3244
건설안전,2018,여자,1638,1182,427,36.1,747,641,333,52,333
건설안전,2019,전체,18833,13212,6388,48.3,8647,7584,4607,60.7,4607
건설안전,2019,여자,2104,1527,701,45.9,961,854,470,55,470
건설안전,2020,전체,16945,12389,6607,53.3,10421,8995,4694,52.2,4694
건설안전,2020,여자,2102,1516,791,52.2,1284,1112,543,48.8,543
화재감식평가,전체,전체,15560,12740,10275,80.7,14852,12588,3852,30.6,3852
화재감식평가,2015(누적),전체,6229,5191,4410,85,5967,5100,1069,21,1069
화재감식평가,2016,전체,1413,1176,880,74.8,1181,1025,56,5.5,56
화재감식평가,2016,여자,99,72,42,58.3,62,53,1,1.9,1
화재감식평가,2017,전체,1727,1359,938,69,1726,1445,474,32.8,474
화재감식평가,2017,여자,151,116,63,54.3,95,79,22,27.8,22
화재감식평가,2018,전체,1606,1320,950,72,1684,1388,583,42,583
화재감식평가,2018,여자,161,128,81,63.3,130,111,42,37.8,42
화재감식평가,2019,전체,2467,1944,1542,79.3,1801,1499,1220,81.4,1220
화재감식평가,2019,여자,273,215,161,74.9,179,142,112,78.9,112
화재감식평가,2020,전체,2118,1750,1555,88.9,2493,2131,450,21.1,450
화재감식평가,2020,여자,283,230,201,87.4,311,267,50,18.7,50
농작업안전보건,전체,전체,2901,2425,2058,84.9,2642,2134,466,21.8,466
농작업안전보건,2018,전체,1798,1503,1268,84.4,0,0,0,0,0
농작업안전보건,2018,여자,431,351,291,82.9,0,0,0,0,0
농작업안전보건,2019,전체,854,708,610,86.2,1926,1611,271,16.8,271
농작업안전보건,2019,여자,180,141,125,88.7,414,344,53,15.4,53
농작업안전보건,2020,전체,249,214,180,84.1,716,523,195,37.3,195
농작업안전보건,2020,여자,54,42,35,83.3,157,116,38,32.8,38
방재,전체,전체,2428,1885,902,47.9,1217,1058,32,3,32
방재,2019,전체,1715,1314,596,45.4,531,492,15,3,0
방재,2019,여자,185,134,43,32.1,35,30,0,0,0
방재,2020,전체,713,571,306,53.6,686,566,17,3,32
방재,2020,여자,80,56,20,35.7,47,39,0,0,0
가스,전체,전체,106338,72147,19043,26.4,37938,32314,11053,34.2,11101
가스,2015(누적),전체,84105,56979,13503,23.7,26402,22796,7756,34,7804
가스,2016,전체,3773,2558,741,29,1793,1514,505,33.4,505
가스,2016,여자,262,196,56,28.6,105,86,31,36,31
가스,2017,전체,4021,2740,1092,39.9,2064,1732,942,54.4,942
가스,2017,여자,311,212,84,39.6,143,121,67,55.4,67
가스,2018,전체,4171,2853,1048,36.7,1801,1527,394,25.8,394
가스,2018,여자,336,225,76,33.8,131,117,17,14.5,17
가스,2019,전체,5117,3483,1307,37.5,2808,2375,452,19,452
가스,2019,여자,428,299,113,37.8,200,164,24,14.6,24
가스,2020,전체,5151,3534,1352,38.3,3070,2370,1004,42.4,1004
가스,2020,여자,496,333,130,39,287,207,78,37.7,78
산업위생관리,전체,전체,72229,52711,22759,43.2,45063,37609,14434,38.4,14441
산업위생관리,2015(누적),전체,45037,33223,13129,39.5,26726,22470,7599,33.8,7606
산업위생관리,2016,전체,5129,3585,1772,49.4,2968,2518,894,35.5,894
산업위생관리,2016,여자,1839,1399,726,51.9,1204,1053,381,36.2,381
산업위생관리,2017,전체,5427,3910,1916,49,3877,3216,1419,44.1,1419
산업위생관리,2017,여자,2162,1681,859,51.1,1715,1447,619,42.8,619
산업위생관리,2018,전체,5269,3706,1766,47.7,3757,3114,1029,33,1029
산업위생관리,2018,여자,2228,1687,809,48,1767,1500,483,32.2,483
산업위생관리,2019,전체,5685,4084,2088,51.1,3971,3327,1692,50.9,1692
산업위생관리,2019,여자,2483,1850,959,51.8,1883,1615,827,51.2,827
산업위생관리,2020,전체,5682,4203,2088,49.7,3764,2964,1801,60.8,1801
산업위생관리,2020,여자,2645,2031,1068,52.6,1830,1479,928,62.7,928
인간공학,전체,전체,11937,9282,6204,66.8,9590,7167,2321,32.4,2321
인간공학,2015(누적),전체,7043,5462,3583,65.6,5553,4092,1015,24.8,1015
인간공학,2016,전체,546,428,284,66.4,500,396,74,18.7,74
인간공학,2016,여자,152,118,84,71.2,130,97,19,19.6,19
