종목명,시작 연도,완료 연도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
전기,2015,2015,전체,7533,6677,1634,24.5,4410,4297,507,11.8,507
전기,2015,2015,여,58,49,15,30.6,44,41,8,19.5,8
전기,2016,2016,전체,7193,6105,1285,21,3467,3381,565,16.7,565
전기,2016,2016,여,53,47,14,29.8,30,29,7,24.1,7
전기,2017,2017,전체,6713,5555,1318,23.7,3108,3041,480,15.8,480
전기,2017,2017,여,45,39,13,33.3,26,26,7,26.9,7
전기,2018,2018,전체,4832,4146,1191,28.7,2516,2463,155,6.3,155
전기,2018,2018,여,30,26,9,34.6,10,10,1,10,1
전기,2019,2019,전체,4416,3588,1274,35.5,2550,2488,129,5.2,129
전기,2019,2019,여,37,29,17,58.6,19,19,1,5.3,1
전자분야,1975,2019,전체,8579,7525,3736,49.6,6420,5982,2141,35.8,2141
전자분야,1975,2014,전체,6546,5817,3106,53.4,5094,4740,1681,35.5,1681
전자분야,2015,2015,전체,484,410,80,19.5,370,348,123,35.3,123
전자분야,2015,2015,여,8,6,1,16.7,5,5,2,40,2
전자분야,2016,2016,전체,475,393,190,48.3,347,328,153,46.6,153
전자분야,2016,2016,여,8,8,3,37.5,4,4,3,75,3
전자분야,2017,2017,전체,386,332,144,43.4,208,191,85,44.5,85
전자분야,2017,2017,여,15,13,5,38.5,4,4,3,75,3
전자분야,2018,2018,전체,333,287,96,33.4,176,171,67,39.2,67
전자분야,2018,2018,여,16,14,4,28.6,4,4,1,25,1
전자분야,2019,2019,전체,355,286,120,42,225,204,32,15.7,32
전자분야,2019,2019,여,13,7,4,57.1,11,10,1,10,1
전자기기,1975,2019,전체,8579,7525,3736,49.6,6420,5982,2141,35.8,2141
전자기기,1975,2014,전체,6546,5817,3106,53.4,5094,4740,1681,35.5,1681
전자기기,2015,2015,전체,484,410,80,19.5,370,348,123,35.3,123
전자기기,2015,2015,여,8,6,1,16.7,5,5,2,40,2
전자기기,2016,2016,전체,475,393,190,48.3,347,328,153,46.6,153
전자기기,2016,2016,여,8,8,3,37.5,4,4,3,75,3
전자기기,2017,2017,전체,386,332,144,43.4,208,191,85,44.5,85
전자기기,2017,2017,여,15,13,5,38.5,4,4,3,75,3
전자기기,2018,2018,전체,333,287,96,33.4,176,171,67,39.2,67
전자기기,2018,2018,여,16,14,4,28.6,4,4,1,25,1
전자기기,2019,2019,전체,355,286,120,42,225,204,32,15.7,32
전자기기,2019,2019,여,13,7,4,57.1,11,10,1,10,1
통신분야,1975,2019,전체,11584,10197,3664,35.9,5066,4859,2928,60.3,2928
통신분야,1975,2014,전체,5328,4711,1476,31.3,1865,1808,1252,69.2,1252
통신분야,2015,2015,전체,893,766,155,20.2,242,226,106,46.9,106
통신분야,2015,2015,여,21,17,8,47.1,8,7,2,28.6,2
통신분야,2016,2016,전체,1157,1022,572,56,709,682,442,64.8,442
통신분야,2016,2016,여,28,25,15,60,20,18,15,83.3,15
통신분야,2017,2017,전체,1634,1464,795,54.3,1023,990,643,64.9,643
통신분야,2017,2017,여,53,48,29,60.4,35,33,20,60.6,20
통신분야,2018,2018,전체,1548,1340,338,25.2,691,663,373,56.3,373
통신분야,2018,2018,여,69,55,9,16.4,24,24,14,58.3,14
통신분야,2019,2019,전체,1024,894,328,36.7,536,490,112,22.9,112
통신분야,2019,2019,여,53,42,15,35.7,22,22,9,40.9,9
통신설비,1975,2019,전체,11584,10197,3664,35.9,5066,4859,2928,60.3,2928
통신설비,1975,2014,전체,5328,4711,1476,31.3,1865,1808,1252,69.2,1252
통신설비,2015,2015,전체,893,766,155,20.2,242,226,106,46.9,106
통신설비,2015,2015,여,21,17,8,47.1,8,7,2,28.6,2
통신설비,2016,2016,전체,1157,1022,572,56,709,682,442,64.8,442
통신설비,2016,2016,여,28,25,15,60,20,18,15,83.3,15
통신설비,2017,2017,전체,1634,1464,795,54.3,1023,990,643,64.9,643
통신설비,2017,2017,여,53,48,29,60.4,35,33,20,60.6,20
