제작연도,카테고리,프로그램명,총편수,회차제목,내용,시간(러닝타임),장르구분,등록일
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_83,"이동진 청년모험가 (‘당신은 도전자입니까’ 저자), 도전이 곧 ‘성장’이다",60min,토크-쇼,2016-07-29
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_84,"김대현 감독 (히바픽쳐스 대표, LG 'G5 360' 광고 촬영) 영상시대, 그리고 IT",60min,토크-쇼,2016-08-01
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_85,김현재 소장 (21세기상담연구소 / 대통령직속여성특별위원회 강사) 성격심리 분석을 통한 관계의 기술,60min,토크-쇼,2016-08-02
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_86,"김현재 소장 (21세기상담연구소 / 대통령직속여성특별위원회 강사), 갈등해소를 위한 의사소통 기법",60min,토크-쇼,2016-08-03
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_87,"송재한 사진작가 (이름없는 학교 대표), 사진값은 ‘착한 일’로 내세요",60min,토크-쇼,2016-08-04
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_88,"송재한 사진작가 (이름없는 학교 대표), 아름다운 습관 ‘나눔’의 기적",60min,토크-쇼,2016-08-05
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_89,"김물길 여행작가 (아트로드 저자), 나를 찾아가는 여행 ‘죽더라도 내 운명이다’",60min,토크-쇼,2016-08-08
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_90,"김물길 여행작가 (아트로드 저자), 마음이 이끈 673일",60min,토크-쇼,2016-08-09
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_91,"류재언 변호사 (법률사무소 율본), 고수들의 협상공식 1부",60min,토크-쇼,2016-08-10
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_92,"류재언 변호사 (법률사무소 율본), 고수들의 협상공식 2부",60min,토크-쇼,2016-08-11
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_93,"류광현 작가 (‘청춘, 판에 박힌 틀을 깨다’), 기업가 정신 찾아 세계로",60min,토크-쇼,2016-08-12
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_94,"류광현 작가 (청춘, 판에 박힌 틀을 깨다) 청년이여, 맨 땅에 헤딩하라!",60min,토크-쇼,2016-08-16
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_95,"문현우 공연기획자 (아리랑 유랑단), ‘아리랑 세계일주’ 도전기",60min,토크-쇼,2016-08-17
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_96,"문현우 공연기획자 (아리랑 유랑단), 나는 대한민국의 ‘문화기획꾼’이다",60min,토크-쇼,2016-08-18
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_97,"정회도 작가 (‘부자의 그림’ 저자) ‘부자의 기운, 부자의 마음’",60min,토크-쇼,2016-08-19
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_98,"정회도 작가 (‘부자의 그림’ 저자), 나에게 맞는 돈을 찾아라",60min,토크-쇼,2016-08-22
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_99,"오인화 前 아나운서 (프라임경제TV, 삼성전자 실전스피치 강사), 버텨라! 존경받는 그날까지!",60min,토크-쇼,2016-08-23
2016,교양/다큐,강의쇼 청산유수,720,강의쇼 청산유수_100,"탁재형 PD (KBS 도전지구탐험대, EBS 세계테마기행 연출) 재미있게 살아도 괜찮아",60min,토크-쇼,2016-08-24
