종목명,항목,내용
수질관리기술사,진로 및 전망,"- 정부의 환경 관련 공무원, 환경관리공단, 한국수자원공사 등 유관기관, 화공, 제약,    도금, 염색, 식품, 건설 등 오·폐수 배출업체, 전문폐수처리업체, 연구소 및 학계   등으로 진출할 수 있다. - 「수질환경보존법(법23조)」사업자는 배출시설과 방지시설의 정상적인 운영·관리를    위하여 환경관리인을 임명할 것을 명시하고 있어 취업에 유리하다. 또한 우리나라의    환경 투자비용은 매년 증가하고 있으며 이중 수질개선부분 즉, 수질관리와 상하수"
수질관리기술사,출제경향," 수질관리에 관한 실무경험, 전문지식 및 응용능력 - 기술사로서의 지도감리·경영관리능력, 자질 및 품위"
수질관리기술사,취득방법,"① 시 행 처 : 한국산업인력공단② 관련학과 : 대학이나 전문대학의 환경공학, 수질폐기물, 환경시스템공학, 환경공업               화학 관련학과③ 시험과목 : 폐수 및 폐기물처리, 토양, 하천 및 해양오염, 기타 환경오염의 현상,               계획 및 관리, 방지에 관한 사항.④ 검정방법   - 필기 : 단답형 및 주관식 논술형(매교시당 100분 총 400분)   - 면접 : 구술형 면접시험(30분 정도)⑤ 합격기준 : 100점 만점에 60점 이상 "
시설원예기술사,개요,"향후 생명과학이 중요한 분야로 대두되어 자동화, 생력화된 작물 재배가 보편화 될 것이며, 첨단 시설에서의 농업은 원예작물이 주 대상이 될 것이므로 원예산업발전에 공헌 할 수 있는 인재를 육성하고자 자격제도 제정. "
시설원예기술사,변천과정,1998년 시설원예기술사로 신설되어 현재까지 시행함. 
시설원예기술사,수행직무,"시설원예에 관한 고도의 전문지식과 실무경험에 입각한 계획, 연구, 설계, 분석, 시험, 운영, 시공, 평가 또는 이에 관한 지도, 감리 등의 기술업무 수행. "
시설원예기술사,실시기관 홈페이지,http://www.q-net.or.kr 
시설원예기술사,실시기관명,한국산업인력공단 
시설원예기술사,위 자격취득자에 대한 법령상 우대현황,"순번법령명조문내역활용내용1건설기술관리법 시행규칙제15조의4 품질시험 및 검사의 실시(별표11)건설공사 품질관리를 위한 품질관리자의 배치기준2건설기술관리법 시행규칙제8조 건설기술연구·개발사업의 협약체결 대상기관 등국토해양부령이 정하는 기관·협회·학회3건설산업기본법 시행령제35조 건설기술자의 현장배치기준등(별표5)공사예정금액의 규모별 건설기술자 배치기준4경찰공무원임용령제16조 특별채용의 요건특별채용의 자격5고등학교 졸업학력 검정고시 규칙제12조 과목면제고시합격자로 가늠 또는 과목면제6공무원수당 등에 관한 규정제14조 특수업무수당(별표11)특수업무수당지급7공무원임용시험령제27조 특별채용시험의 응시자격 등(별표7, 8)특별채용시험에 응시8공무원임용시험령제31조 채용시험의 특전(별표10, 12)6급 이하 공무원 및 기능직공무원 채용시험 가산대상 자격증9공원구역내광물채굴허가사무처리규칙제6조 허가절차등광물채굴의 협의를 신청하고자 할때 서류 작성자10공직자윤리법 시행령제34조 취업승인관할 공직자윤리위원회가 취업승인을 하는 경우11공직자윤리법의 시행에 관한 대법원규칙제37조 취업승인퇴직공직자의 취업승인 요건12공직자윤리법의 시행에 관한 헌법재판소규칙제20조 취업승인퇴직공직자의 취업승인 요건13과학기술인공제회법제6조 회원의 자격공제회의 회원 자격14광업법 시행령제11조 현장조사를 하지 아니하는 사유단서에 따라 현장조사를 하지 아니하는 사유15교원자격검정령 시행규칙제9조 무시험검정의 신청실기교사무시험검정인 때에는 국가기술자격증 사본(해당과목에 한한다)을 첨부하여야 무시험자격16교육감 소속 지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정17국가공무원법제36조의2 채용시험의 가점채용시험의 가점18국가과학기술 경쟁력강화를 위한 이공계지원특별법제16조 기업의 이공계인력의 활용지원국가 및 지방자치단체는 벤처기업이 미취업상태에 있는 이공계 석사학위·박사학위를 취득한 자 또는 기술사자격을 취득한 자를 채용하는 경우 예산의 범위안에서 재정지원을 하거나 조세관계 법률이 정하는 바에 따라 세금감면 등 필요한 지원을 할 수 있음19국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제20조 연구기획평가사의 자격시험연구기획평가사 자격시험 일부 면제20국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제2조 이공계인력의 범위 등이공계인력의 정의21국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제6조 실태조사의 시기 및 방법 등이공계분야의 박사학위를 취득한 자 및 주요 이공계인력의 정의22국가기술자격법제14조 국가기술자격 취득자에 대한 우대국가기술자격 취득자를 우대23국가기술자격법 시행규칙제21조 시험위원의 자격 등(별표16)시험위원의 자격24국가기술자격법 시행령제27조 국가기술자격취득자의 취업 등에 대한 우대채용·보수 및 승진 등에 있어 해당 직무분야의 국가기술자격취득자를 우대25국가를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준가격을 적용함에 있어 해당 노임단가에 그 노임단가의 100분의 15 이하에 해당하는 금액을 가산26국외유학에 관한 규정제5조 자비유학자격자비유학을 할수 있는자27국회인사규칙제20조 특별채용의 요건동종직무에 관한 자격증소지자를 특별채용하는 경우28군무원인사법 시행규칙제16조 시험과목의 일부 면제 등국가에서 실시한 각종 자격·면허시험에 합격한 사람의 자격이 임용예정 직급과 관련이 있는 경우에는 그 자격·면허시험에 이미 응시한 시험과목에 대한 시험은 면제29군무원인사법 시행규칙제27조 가산점(별표4)승진후보자 명부작성시 자격증 및 면허증 소지자 가산30군무원인사법 시행령제10조 특별채용 요건(별표4)특별채용시험에 의하여 신규채용할 수 있는 자격31군인사법 시행규칙제14조 부사관의 임용부사관의 자격32군인사법 시행령제44조 전역보류(별표2, 별표5)정밀장비기술자, 군의 필수기술분야에 종사하는 자의 범위33근로자직업능력 개발법 시행령제27조 직업능력개발훈련을 위하여 근로자를 가르칠 수 있는 사람직업능력개발훈련교사의 정의34근로자직업능력 개발법 시행령제28조 직업능력개발훈련교사의 자격 취득(별표1)직업능력개발훈련교사의자격 35근로자직업능력 개발법 시행령제38조 다기능기술자과정의 학생선발방법정원 내 특별전형대상자36근로자직업능력 개발법 시행령제42조 교원 등의 자격(별표1의2)기능대학의 교원 자격37근로자직업능력 개발법 시행령제44조 교원 등의 임용교원을 임용할 때 자격증 소지자 우대38기간제 및 단시간근로자 보호 등에 관한 법률 시행령제3조 기간제근로자 사용기간 제한의 예외기간제근로자 사용기간 제한의 예외39기능장려법 시행령제3조 영업의 우선적 인ㆍ허가등영업의 우선적 인ㆍ허가등40기술개발촉진법 시행령제15조 특정연구개발사업 참여기관 등의 기준연구전담요원의 자격41기술사법제11조 서명날인기술사가 설계도서등을 작성하거나 제작, 일부를 변경한 경우 그 설계도서등에 서명날인할 때 자격의 해당 기술분야 및 자격종목 명시42기술사법제15조 기술사회 회원기술사회원 자격43기술사법제2조 정의기술사의 정의44기술사법제6조 기술사사무소의 개설 등록등합동기술사 사무소 개설에 필요한 자격45기술사법 시행령제19조 합동기술사사무소의 등록기준 등합동사무소구성원의 요건46기술심리관규칙제2조 기술심리관의 자격기술심리관의 자격47기술의 이전 및 사업화 촉진에 관한 법률 시행령제16조 기술거래기관의 지정기준 등기술거래기관에 필요한 인력기준48기술의 이전 및 사업화 촉진에 관한 법률 시행령제32조 기술평가기관의 지정기준 등기술평가를 위한 전담인력 및 담당조직 등 대통령령이 정하는 기준을 갖춘 기관에 필요한 인력기준49농산물품질관리법 시행규칙제15조의13 우수관리시설의 지정 요건 및 절차 등(별표3의6)우수관리시설의 지정 요건50농산물품질관리법 시행규칙제15조의9 인증기관의 지정 기준 및 절차 등(별표3의4)인증기관의 지정 기준51독학에 의한 학위취득에 관한 법률 시행규칙제4조 국가기술자격취득자에 대한 시험면제범위등자격취득분야와 동일한 분야의 시험에 응시하는 자에 대하여는 해당 과정별 인정시험 면제52독학에 의한 학위취득에 관한 법률 시행령제9조 시험과목면제 대상시험과목의 전부 또는 일부를 면제받을 수 있는 자53문화산업진흥 기본법 시행령제26조 기업부설창작연구소 등의 인력ㆍ시설 등의 기준기업부설창작연구소의 인력기준54방위사업법제6조 청렴서약제 및 옴부즈만제도옴부즈만의 자격55법원계약직공무원규칙제3조 채용자격(별표2)전문계약직공무원의 채용자격기준56병역법제53조 전시근로소집 대상 등전시근로소집 대상57병역법 시행령제83조 전문연구요원 및 산업기능요원이 종사할 해당 분야 등분야에 종사해야할 전문연구요원 및 산업기능요원58부품·소재전문기업 등의 육성에 관한 특별조치법 시행령제14조 부품·소재기술개발전문기업의 지원기준 등부품·소재기술개발전문기업의 기술개발전담요원59비상대비자원 관리법제2조 대상자원의 범위대상자원의 범위60산업디자인진흥법시행령제4조 연구 및 진흥사업의 참여기관등산업디자인에 관한 연구 및 진흥사업의 참여기관61산지관리법 시행령제28조 중앙산지관리위원회의 구성중앙산지관리위원회 위원62산지관리법 시행령제31조 지방산지관리위원회의 설치ㆍ운영 등지방산지관리위원회의 위원63석탄산업법 시행령제44조 실지조사할 자의 자격실지조사를 할 자로 지정받을 수 있는 자64선박직원법 시행령제11조 시험과목필기시험의 해당 과목을 면제65수목원 조성 및 진흥에 관한 법률 시행령제6조 전문관리인의 자격수목원 전문관리인의 자격66수목원 조성 및 진흥에 관한 법률 시행령제7조 수목원의 등록요건수목원의 등록요건67엔지니어링기술 진흥법제3조의6 기술사의 고용확대정부가 엔지니어링활동주체의 기술사 고용 확대 권장68여성과학기술인육성및지원에관한법률시행령제2조 정의여성과학기술인의 자격69연구직 및 지도직공무원의 임용 등에 관한 규정제12조 전직시험의 면제(별표2의5)전직시험없이 전직임용 자격70연구직 및 지도직공무원의 임용 등에 관한 규정제26조의2 채용시험의 특전(별표5, 7)연구사 및 지도사공무원 채용시험 응시하는 경우 점수 가산71연구직 및 지도직공무원의 임용 등에 관한 규정제7조의2 특별채용시험의 응시자격(별표2의5)연구직 또는 지도직공무원의 특별채용시험 응시 자격72원자력법 시행령제283조 응시자격(별표5)원자력관계종사자의 면허시험 응시자격73자연재해대책법 시행령제32조의2 대행자의 등록요건 등(별표3)방재안전대책수립대행자 등록요건74장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력75전력기술관리법 시행령제27조 설계업ㆍ감리업의 종류별 등록 기준 등(별표4, 별표5)설계업 또는 감리업 등록을 하려는 자의 인력 요건76조세특례제한법 시행령제5조 창업중소기업 등에 대한 세액감면창업중소기업 등에 대한 세액감면77주택법 시행령제62조의8 하자진단 및 하자감정안전진단기관의 자격78중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원79중소기업진흥에 관한 법률제48조 1차 시험의 면제1차 시험을 면제80중소기업창업 지원법 시행령제20조 중소기업상담회사의 등록요건(별표1)중소기업상담회사가 보유하여야 하는 전문인력81중소기업창업 지원법 시행령제6조 창업보육센터사업자의 지정(별표1)창업보육센터사업자의 전문인력82중소기업창업 지원법 시행령제9조 창업투자회사의 등록요건창업토자회사 전문인력83지방공무원 임용령제17조 특별임용의 요건특별임용 하려는 경우84지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산85지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정86지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산87지방자치단체를 당사자로 하는 계약에 관한 법률제57조 주민참여감독자의 자격주민대표자의추천을받을수있는사람의자격기준 88지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산89지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원90지방자치법 시행령제26조 감사청구심의회감사청구심의회의 위원91지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원92지하수법 시행령제32조 지하수개발ㆍ이용시공업의 등록등(별표4)지하수개발·이용시공업의 등록 기준93친환경농업육성법 시행규칙제11조 인증기관의 지정기준(별표4)인증기관의 지정기준94폐기물관리법 시행령제16조 기술관리대행자폐기물처리시설의 유지·관리에 관한 기술관리를 대행할 수 있는 자95해외건설촉진법 시행령제5조 해외건설업의 업종 및 자격(별표2)해외건설업의 신고 자격96헌법재판소 공무원 수당규칙제6조 특수업무수당(별표2)특수업무수당지급"
시설원예기술사,진로 및 전망," 원예재배업체, 시설원예 시공업체, 농자재판매업체, 농장, 자영업 및 공공기관이나 학 교, 농업관련분야공무원으로 진출할 수 있다. - 시실원예농업은 전체 농업생산액에서 치지하는 비중이 증가하고 있으며, 지속적인 성장도 예상된다. 또한 자격취득업체에 온실설치공사업을 우선 허용하고, 자격취득자가 시설원예업을 하면 정부지원금을 받을 수 있다."
시설원예기술사,출제경향," 시설원예에 관한 전문적인 실무경험, 전문지식 및 응용능력. - 기술사로서 지도관리능력, 자질 등"
시설원예기술사,취득방법,"① 시 행 처 : 한국산업인력공단 ② 관련학과 : 대학의 원예학과, 관상원예학과, 환경원예학과, 원예과학과 등 ③ 시험과목 : 원예시설의 설계, 설치, 시설내의 환경조절 및 재배관리에 관한 사항. ④ 검정방법: 필기 : 단답형 및 주관식 논술형(매교시당 100분 총 400분) - 면접 : 구술형 면접(시험시간 30분 정도) ⑤ 합격기준 : 100점을 만점으로 하여 60점 이상 득점자. "
식품기술사,개요,"식품은 인간의 생명과 건강을 유지하기 위해 필요 불가결한 것으로, 사회발전과 생활의  풍요로와짐에 따라 식품에 대한 욕구도 양적인 측면에서 맛과 영양, 안전성 등을 고려 하는 질적인 측면으로 변화하게 된다. 이에 따라 식품의 개발, 생산, 관리면이나 위 생, 안전면을 고려한 최상의 식품이 제공되도록 하기 위해 식품분야의 전문지식과 기 술, 그리고 풍부한 실무경험을 갖춘 기술인력이 필요함. "
식품기술사,변천과정,’74.10.16. 대통령령 제7283호’91.10.31. 대통령령 제13494호현재산업응용기술사(식품제조가공)식품기술사식품기술사
식품기술사,수행직무,"식품기술분야에 관한 고도의 전문지식과 실무경험에 입각하여 식품재료 및 제품에 대한  안전성, 영양, 맛 등을 분석, 연구, 시험, 평가하며, 식품제조 및 가공공정, 식품의 보 존과 저장기술을 개발하고 이에 관한 기술자문과 지도 등의 기술업무 수행. "
식품기술사,실시기관 홈페이지,http://www.q-net.or.kr
식품기술사,실시기관명,한국산업인력공단 
식품기술사,위 자격취득자에 대한 법령상 우대현황,"순번법령명조문내역활용내용1건강기능식품에 관한 법률 시행령제4조 품질관리인의 자격기준품질관리인의 자격기준2건설기술진흥법시행규칙제50조품질시험및검사의실시(별표5)건설공사 품질관리를 위한 품질관리자의 배치기준3건설산업기본법 시행령제35조 건설기술자의 현장배치기준등(별표5)공사예정금액의 규모별 건설기술자 배치기준4경찰공무원임용령제16조 특별채용의 요건특별채용의 자격5고등학교 졸업학력 검정고시 규칙제12조 과목면제고시합격자로 가늠 또는 과목면제6공무원수당 등에 관한 규정제14조 특수업무수당(별표11)특수업무수당지급7공무원임용시험령제27조 특별채용시험의 응시자격 등(별표7, 8)특별채용시험에 응시8공무원임용시험령제31조 채용시험의 특전(별표12)6급 이하 공무원 및 기능직공무원 채용시험 가산대상 자격증9공직자윤리법 시행령제34조 취업승인관할 공직자윤리위원회가 취업승인을 하는 경우10공직자윤리법의 시행에 관한 대법원규칙제37조취업승인신청퇴직공직자의 취업승인 요건11공직자윤리법의 시행에 관한 헌법재판소규칙제20조 취업승인퇴직공직자의 취업승인 요건12교원자격검정령 시행규칙제9조 무시험검정의 신청실기교사무시험검정인 때에는 국가기술자격증 사본(해당과목에 한한다)을 첨부하여야 무시험자격13교육감 소속 지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정14국가공무원법제36조의2 채용시험의 가점채용시험의 가점15국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제2조 이공계인력의 범위 등이공계인력의 정의16국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제20조 연구기획평가사의 자격시험연구기획평가사 자격시험 일부 면제17국가기술자격법제14조 국가기술자격 취득자에 대한 우대국가기술자격 취득자를 우대18국가기술자격법 시행령제12조의2국가기술자격의등급과응시자격(별표1의2)기술·기능분야 국가기술자격의 응시자격19국가기술자격법 시행령제27조 국가기술자격취득자의 취업 등에 대한 우대채용·보수 및 승진 등에 있어 해당 직무분야의 국가기술자격취득자를 우대20국가기술자격법 시행규칙제21조 시험위원의 자격 등(별표16)시험위원의 자격21국가를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준가격을 적용함에 있어 해당 노임단가에 그 노임단가의 100분의 15 이하에 해당하는 금액을 가산22국외유학에 관한 규정제5조 자비유학자격자비유학을 할수 있는자23국회인사규칙제20조경력경쟁채용등의요건동종직무에 관한 자격증소지자를 특별채용하는 경우24군무원인사법 시행령제10조 특별채용 요건특별채용시험에 의하여 신규채용할 수 있는 자격25군무원인사법 시행규칙제16조 시험과목의 일부 면제 등국가에서 실시한 각종 자격·면허시험에 합격한 사람의 자격이 임용예정 직급과 관련이 있는 경우에는 그 자격·면허시험에 이미 응시한 시험과목에 대한 시험은 면제26군무원인사법 시행규칙제27조 가산점(별표4)승진후보자 명부작성시 자격증 및 면허증 소지자 가산27군인사법 시행령제44조 전역보류(별표2, 5)정밀장비기술자, 군의 필수기술분야에 종사하는 자의 범위28군인사법 시행규칙제14조 부사관의 임용부사관의 자격29근로자직업능력 개발법 시행령제27조 직업능력개발훈련을 위하여 근로자를 가르칠 수 있는 사람직업능력개발훈련교사의 정의30근로자직업능력 개발법 시행령제28조직업능력개발훈련교사의자격취득(별표2)직업능력개발훈련교사의자격31근로자직업능력 개발법 시행령제38조 다기능기술자과정의 학생선발방법정원 내 특별전형대상자32근로자직업능력 개발법 시행령제44조 교원 등의 임용교원을 임용할 때 자격증 소지자 우대33기술사법 시행령제19조 합동기술사사무소의 등록기준 등합동사무소구성원의 요건34농수산물품질관리법 시행령제33조수산물검사관전형시험의면제수산물검사관의 자격35농수산물품질관리법 시행규칙제130조 검정기관의 지정기준 및 평가기준(별표31)검정기관의 지정기준 및 평가기준36독학에 의한 학위취득에 관한 법률 시행령제9조 시험과목면제 대상시험과목의 전부 또는 일부를 면제받을 수 있는 자37독학에 의한 학위취득에 관한 법률 시행규칙제4조 국가기술자격취득자에 대한 시험면제범위등자격취득분야와 동일한 분야의 시험에 응시하는 자에 대하여는 해당 과정별 인정시험 면제38병역법제53조 전시근로소집 대상 등전시근로소집 대상39병역법 시행령제79조 기간산업 분야 종사자 등의 산업기능요원 편입(별표2)기간산업분야종사자등의 산업기능요원 편입40병역법 시행령제83조 전문연구요원 및 산업기능요원이 종사할 해당 분야 등분야에 종사해야할 전문연구요원 및 산업기능요원41비상대비자원 관리법제2조 대상자원의 범위대상자원의 범위42선거관리위원회 공무원규칙제21조경력경쟁채용등의요건(별표4)동종직무에 관한 자격증소지자를 특별채용43선거관리위원회 공무원규칙제29조전직시험의면제(별표12)전직시험의 면제44선거관리위원회 공무원규칙제85조 전직시험이 면제되는 직급별 자격증 구분(별표13)전직시험이 면제되는 당해직급에 상응하는 자격증45선거관리위원회 공무원규칙제89조 채용시험의 특전(별표14, 15)자격증의 소지자가 6급이하 공무원채용시험에 응시하는 경우 점수 가산46선거관리위원회 공무원평정규칙제23조자격증의가점(별표5)자격증의 가점평정47선박직원법 시행령제11조 시험과목필기시험의 해당 과목을 면제48식품위생법 시행령제16조 식품위생감시원의 자격 및 임명식품위생감시원49엔지니어링산업진흥법시행령제7조 엔지니어링사업자 신고(별표3)엔지니어링사업자의신고기술인력50여성과학기술인육성및지원에관한법률시행령제2조 정의여성과학기술인의 자격51연구직 및 지도직공무원의 임용 등에 관한 규정제26조의2 채용시험의 특전(별표5, 7)연구사 및 지도사공무원 채용시험 응시하는 경우 점수 가산52장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력53중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원54중소기업진흥에 관한 법률제48조 1차 시험의 면제1차 시험을 면제55지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산56지방공무원 임용령제17조경력경쟁임용시험등을통한임용의요건특별임용 하려는 경우57지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산58지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정59지방자치단체를당사자로하는계약에관한법률시행령제57조 주민참여감독자의 자격주민대표자의추천을받을수있는사람의자격기준60지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원61지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산62지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원63축산물위생관리법시행령제20조의2 축산물위생감시원의 자격 및 직무범위 등축산물위생감시원의 자격64헌법재판소 공무원 규칙제21조 전직시험의 면제(별표7)전직시험의 면제65헌법재판소공무원수당등에관한규칙제6조 특수업무수당(별표2)특수업무수당지급66헌법재판소 공무원 평정 규칙제23조 자격증가점(별표4)5급이하 및 기능직공무원 자격증 취득자 가점 평정67선박직원법 시행령제11조 시험과목필기시험의 해당 과목을 면제68식품위생법 시행령제16조 식품위생감시원의 자격 및 임명식품위생감시원69엔지니어링산업진흥법제13조 엔지니어링전문인력의 양성 등정부가 엔지니어링전문인력의 기술사 고용 확대 권장70엔지니어링산업진흥법시행령제7조 엔지니어링사업자 신고(별표3)엔지니어링사업자의신고기술인력71여성과학기술인육성및지원에관한법률시행령제2조 정의여성과학기술인의 자격72연구직 및 지도직공무원의 임용 등에 관한 규정제7조의2 특별채용시험의 응시자격(별표2의5)연구직 또는 지도직공무원의 특별채용시험 응시 자격73연구직 및 지도직공무원의 임용 등에 관한 규정제12조 전직시험의 면제(별표2의5)전직시험없이 전직임용 자격74연구직 및 지도직공무원의 임용 등에 관한 규정제26조의2 채용시험의 특전(별표5, 7)연구사 및 지도사공무원 채용시험 응시하는 경우 점수 가산75원자력안전법시행령제118조응시자격(별표5)원자력관계종사자의 면허시험 응시자격76자연재해대책법 시행령제32조의2 대행자의 등록요건 등(별표3)방재안전대책수립대행자 등록요건77장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력78전력기술관리법 시행령제27조 설계업ㆍ감리업의 종류별 등록 기준 등(별표4, 5)설계업 또는 감리업 등록을 하려는 자의 인력 요건79조세특례제한법 시행령제5조 창업중소기업 등에 대한 세액감면창업중소기업 등에 대한 세액감면80주택법 시행령제62조의14하자진단및하자감정안전진단기관의 자격81중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원82중소기업진흥에 관한 법률제48조 1차 시험의 면제1차 시험을 면제83중소기업창업 지원법 시행령제6조 창업보육센터사업자의 지정(별표1)창업보육센터사업자의 전문인력84중소기업창업 지원법 시행령제9조 창업투자회사의 등록요건창업토자회사 전문인력85중소기업창업 지원법 시행령제20조 중소기업상담회사의 등록요건(별표1)중소기업상담회사가 보유하여야 하는 전문인력86지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산87지방공무원 임용령제17조경력경쟁임용시험등을통한임용의요건특별임용 하려는 경우88지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산89지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정90지방자치단체를당사자로하는계약에관한법률시행령제57조 주민참여감독자의 자격주민대표자의추천을받을수있는사람의자격기준91지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원92지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산93지방자치법 시행령제26조 감사청구심의회감사청구심의회의 위원94지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원95지하수법 시행령제32조 지하수개발ㆍ이용시공업의 등록등(별표4)지하수개발·이용시공업의 등록 기준96축산물위생관리법시행령제20조의2 축산물위생감시원의 자격 및 직무범위 등축산물위생감시원의 자격97폐기물관리법 시행령제16조 기술관리대행자폐기물처리시설의 유지·관리에 관한 기술관리를 대행할 수 있는 자98해외건설촉진법 시행령제5조 해외건설업의 업종 및 자격(별표2)해외건설업의 신고 자격99헌법재판소공무원수당등에관한규칙제6조 특수업무수당(별표2)특수업무수당지급100헌법재판소 공무원 평정 규칙제23조 자격증가점(별표4)5급이하 및 기능직공무원 자격증 취득자 가점 평정※ 한국산업인력공단에서는 국민 알권리 충족 및 정보 공개의 확대를 위하여 위 정보를 제공하고 있습니다. 단, 세부 법령에 대한 유권해석 및 적용 관련 사항에 대한 정확한 안내는 관련법을 제정한 소관부처에서 가능하니 참고하시기 바랍니다. 업데이트 일자: '14.7.13"
식품기술사,진로 및 전망," 주로 식품가공업체, 식품연구소, 식품검사시험원 등으로 진출하며, 이외에도 학계나   정부기관 등으로 진출할 수 있다. - 음식에 대한 소비욕구의 다양화와 고급화 추세로 인해 맛과 영양, 위생안전 등을 고   려한 다양한 식품이 개발되고 있으며,기업간 경쟁도 치열해지고 있다. 특히 생물 공   학의 발전은 새로운 식품소재의 개발 및 기존 농림수산물의 처리, 저장, 가공공정분   야에 고부가가치 기술개발로 이어질 것으로 기대된다. 또한 전통식품의 세계화를 위   한 품질개량 및 제조방법 개선 등 식품과 관련된 다양한 분야에서 연구개발이 진행되   고 있다. 이에 따라 식품분야의 전문지식과 오랜경험을 통해 전문기술을 겸비한 기술   인력이 보다 많이 필요할 것으로 기대된다. 또한 기술사와 같은 전문기술인력은 해   당 분야의 전문지식을 바탕으로 엔지니어링 및 관련기술서비스업, 기술시험, 검사    및 분석관련 업무 등으로 진출하는데도 유리할 전망이다."
식품기술사,출제경향," 식품제조분야에 관한 전문지식 및 응용능력, 기술사로서의 지도감리능력 및 자질 등"
식품기술사,취득방법,"① 시 행 처 : 한국산업인력공단 ② 관련학과 : 대학의 식품공학, 식품가공학 관련학과 ③ 시험과목 - 필기 : 식품의 생산가공, 식품산업의 계획, 식품의 보존, 저장, 평가 및 검사 등에 관한 사항 ④ 검정방법 - 필기 : 단답형 및 주관식 논술형 (매교시당 100분, 총 400분) - 면접 : 구술형 면접 (30분 정도) ⑤ 합격기준 - 필기·실기 : 100점을 만점으로 하여 60점 이상. "
