종목명,시작 연도,완료 연도,성별,필기시험접수,필기시험응시,필기시험합격,필기시험합격률(%),실기시험접수,실기시험응시,실기시험합격,실기시험합격률(%),자격취득자현황(명)
대기환경,2019,2019,전체,11090,7963,2651,33.3,3243,3113,2220,71.3,2220
대기환경,2019,2019,여,4099,3114,1052,33.8,1252,1205,884,73.4,884
수질환경,1975,2019,전체,310738,230967,64487,27.9,111394,100201,44243,44.2,47743
수질환경,1975,2014,전체,257646,190680,51910,27.2,94582,84111,33129,39.4,36629
수질환경,2015,2015,전체,9970,7596,2440,32.1,3366,3221,2393,74.3,2393
수질환경,2015,2015,여,3775,3089,1039,33.6,1362,1321,1037,78.5,1037
수질환경,2016,2016,전체,10092,7625,2294,30.1,3083,2961,1892,63.9,1892
수질환경,2016,2016,여,3992,3193,1028,32.2,1305,1270,863,68,863
수질환경,2017,2017,전체,10991,8348,2523,30.2,3488,3331,2440,73.3,2440
수질환경,2017,2017,여,4411,3524,1081,30.7,1453,1397,1073,76.8,1073
수질환경,2018,2018,전체,11132,8434,2631,31.2,3265,3117,2444,78.4,2444
수질환경,2018,2018,여,4462,3544,1127,31.8,1354,1293,1051,81.3,1051
수질환경,2019,2019,전체,10907,8284,2689,32.5,3610,3460,1945,56.2,1945
수질환경,2019,2019,여,4267,3373,1160,34.4,1483,1431,863,60.3,863
소음진동,1975,2019,전체,26184,16694,6108,36.6,11597,9670,3922,40.6,4052
소음진동,1975,2014,전체,23001,14685,5298,36.1,10207,8467,3302,39,3432
소음진동,2015,2015,전체,673,412,158,38.3,280,236,131,55.5,131
소음진동,2015,2015,여,135,97,41,42.3,68,59,40,67.8,40
소음진동,2016,2016,전체,722,450,169,37.6,304,257,123,47.9,123
소음진동,2016,2016,여,154,109,38,34.9,65,56,25,44.6,25
소음진동,2017,2017,전체,699,453,188,41.5,333,280,121,43.2,121
소음진동,2017,2017,여,128,84,35,41.7,68,58,23,39.7,23
소음진동,2018,2018,전체,489,309,127,41.1,223,196,110,56.1,110
소음진동,2018,2018,여,88,50,16,32,43,38,14,36.8,14
소음진동,2019,2019,전체,600,385,168,43.6,250,234,135,57.7,135
소음진동,2019,2019,여,128,88,43,48.9,65,60,31,51.7,31
자연생태복원,1975,2019,전체,25738,19628,7736,39.4,12220,8865,4007,45.2,4007
자연생태복원,1975,2014,전체,18112,13668,4455,32.6,7019,4990,2141,42.9,2141
자연생태복원,2015,2015,전체,1736,1344,623,46.4,1203,909,423,46.5,423
자연생태복원,2015,2015,여,774,599,261,43.6,453,362,188,51.9,188
자연생태복원,2016,2016,전체,1657,1286,561,43.6,890,688,418,60.8,418
자연생태복원,2016,2016,여,732,565,263,46.5,379,321,202,62.9,202
자연생태복원,2017,2017,전체,1508,1199,691,57.6,961,695,332,47.8,332
자연생태복원,2017,2017,여,676,538,316,58.7,458,361,176,48.8,176
자연생태복원,2018,2018,전체,1411,1095,603,55.1,941,664,379,57.1,379
자연생태복원,2018,2018,여,637,487,281,57.7,420,326,194,59.5,194
자연생태복원,2019,2019,전체,1314,1036,803,77.5,1206,919,314,34.2,314
자연생태복원,2019,2019,여,615,478,376,78.7,531,418,156,37.3,156
토양환경,1975,2019,전체,29992,21041,7378,35.1,13388,10925,5022,46,5441
토양환경,1975,2014,전체,22014,15432,5068,32.8,8659,6955,3466,49.8,3885
토양환경,2015,2015,전체,1624,1144,462,40.4,821,692,370,53.5,370
토양환경,2015,2015,여,581,439,199,45.3,348,296,151,51,151
토양환경,2016,2016,전체,1641,1112,456,41,856,724,285,39.4,285
토양환경,2016,2016,여,616,456,208,45.6,372,314,127,40.4,127
토양환경,2017,2017,전체,1672,1198,470,39.2,1036,896,246,27.5,246
토양환경,2017,2017,여,596,455,194,42.6,444,385,99,25.7,99
토양환경,2018,2018,전체,1503,1062,438,41.2,1045,859,250,29.1,250
토양환경,2018,2018,여,558,420,185,44,467,401,118,29.4,118
토양환경,2019,2019,전체,1538,1093,484,44.3,971,799,405,50.7,405
토양환경,2019,2019,여,554,437,206,47.1,409,342,166,48.5,166
폐기물처리,1975,2019,전체,95053,63924,20197,31.6,41560,34396,10331,30,10349
